APID,Vendor,InvoiceDate,DueDate,Amount,Currency,Status,PaidDate,Terms,invoice_month,invoice_dayofweek,is_weekend,amount_usd,anomaly,type
AP10000,BluePrints,2024-12-16,2025-01-15,344.25,EUR,Open,,Net 30,12,0,0,371.79,True,Anomaly
AP10001,BluePrints,2024-05-18,2024-06-17,3298.38,CAD,Partial,,Net 30,5,5,1,2407.8174,False,Normal
AP10002,Fast Travel,2024-02-25,2024-03-26,1023.43,GBP,Open,,Net 30,2,6,1,1279.2875,False,Normal
AP10003,ABC Supplies,2024-01-08,2024-02-07,4433.05,USD,Partial,,Net 30,1,0,0,4433.05,True,Anomaly
AP10004,ABC Supplies,2024-05-23,2024-06-22,4345.14,GBP,Partial,,Net 30,5,3,0,5431.425,False,Normal
AP10005,Fast Travel,2024-07-09,2024-08-08,1599.18,AUD,Open,,Net 30,7,1,0,1039.467,False,Normal
AP10006,BluePrints,2024-12-20,2025-01-19,894.13,USD,Open,,Net 30,12,4,0,894.13,False,Normal
AP10007,Fast Travel,2024-09-25,2024-10-25,1303.06,GBP,Paid,2024-10-25,Net 30,9,2,0,1628.8249999999998,False,Normal
AP10008,ABC Supplies,2024-02-12,2024-03-13,3481.8,CAD,Paid,2024-03-13,Net 30,2,0,0,2541.714,False,Normal
AP10009,ABC Supplies,2024-06-27,2024-07-27,217.97,USD,Open,,Net 30,6,3,0,217.97,False,Normal
AP10010,BluePrints,2024-03-09,2024-04-08,1809.07,EUR,Partial,,Net 30,3,5,1,1953.7956000000001,False,Normal
AP10011,BluePrints,2024-10-10,2024-11-09,884.1,USD,Open,,Net 30,10,3,0,884.1,False,Normal
AP10012,ABC Supplies,2023-05-19,2023-06-18,1491.7,GBP,Open,,Net 30,5,4,0,1864.625,False,Normal
AP10013,ABC Supplies,2023-11-19,2023-12-19,4212.17,AUD,Paid,2023-12-19,Net 30,11,6,1,2737.9105,False,Normal
AP10014,BluePrints,2024-05-05,2024-06-04,1632.82,GBP,Open,,Net 30,5,6,1,2041.0249999999999,False,Normal
AP10015,BluePrints,2023-06-04,2023-07-04,1887.67,EUR,Paid,2023-07-04,Net 30,6,6,1,2038.6836000000003,False,Normal
AP10016,BluePrints,2023-12-10,2024-01-09,1721.41,GBP,Open,,Net 30,12,6,1,2151.7625000000003,False,Normal
AP10017,Global Office,2024-12-30,2025-01-29,2941.63,USD,Open,,Net 30,12,0,0,2941.63,False,Normal
AP10018,Fast Travel,2024-06-27,2024-07-27,889.44,USD,Paid,2024-07-27,Net 30,6,3,0,889.44,False,Normal
AP10019,Fast Travel,2025-03-28,2025-04-27,1539.53,AUD,Partial,,Net 30,3,4,0,1000.6945000000001,False,Normal
AP10020,TechMart,2023-07-14,2023-08-13,996.27,AUD,Open,,Net 30,7,4,0,647.5755,False,Normal
AP10021,TechMart,2023-06-28,2023-07-28,2450.1,CAD,Partial,,Net 30,6,2,0,1788.5729999999999,False,Normal
AP10022,Global Office,2024-12-27,2025-01-26,797.8,CAD,Open,,Net 30,12,4,0,582.394,False,Normal
AP10023,BluePrints,2023-05-16,2023-06-15,4237.65,GBP,Partial,,Net 30,5,1,0,5297.0625,False,Normal
AP10024,Global Office,2023-09-30,2023-10-30,665.06,AUD,Open,,Net 30,9,5,1,432.289,False,Normal
AP10025,Global Office,2024-12-14,2025-01-13,3849.16,GBP,Partial,,Net 30,12,5,1,4811.45,False,Normal
AP10026,BluePrints,2023-07-17,2023-08-16,4411.88,CAD,Paid,2023-08-16,Net 30,7,0,0,3220.6724,False,Normal
AP10027,Fast Travel,2024-03-25,2024-04-24,296.65,USD,Paid,2024-04-24,Net 30,3,0,0,296.65,False,Normal
AP10028,TechMart,2024-10-28,2024-11-27,3099.8,GBP,Open,,Net 30,10,0,0,3874.75,False,Normal
AP10029,Global Office,2023-03-06,2023-04-05,4007.29,CAD,Open,,Net 30,3,0,0,2925.3217,False,Normal
AP10030,Fast Travel,2024-02-13,2024-03-14,2884.32,CAD,Partial,,Net 30,2,1,0,2105.5536,False,Normal
AP10031,Fast Travel,2023-03-15,2023-04-14,4830.24,EUR,Paid,2023-04-14,Net 30,3,2,0,5216.6592,False,Normal
AP10032,Global Office,2023-10-11,2023-11-10,4841.22,USD,Paid,2023-11-10,Net 30,10,2,0,4841.22,False,Normal
AP10033,ABC Supplies,2024-11-02,2024-12-02,3601.17,AUD,Open,,Net 30,11,5,1,2340.7605000000003,False,Normal
AP10034,Fast Travel,2025-01-11,2025-02-10,3913.65,GBP,Paid,2025-02-10,Net 30,1,5,1,4892.0625,False,Normal
AP10035,ABC Supplies,2023-04-09,2023-05-09,1117.52,CAD,Open,,Net 30,4,6,1,815.7896,False,Normal
AP10036,BluePrints,2023-07-21,2023-08-20,4178.2,CAD,Partial,,Net 30,7,4,0,3050.086,False,Normal
AP10037,Global Office,2024-07-31,2024-08-30,504.02,USD,Partial,,Net 30,7,2,0,504.02,False,Normal
AP10038,BluePrints,2023-01-08,2023-02-07,3156.05,GBP,Open,,Net 30,1,6,1,3945.0625,False,Normal
AP10039,Global Office,2023-07-01,2023-07-31,3284.77,EUR,Partial,,Net 30,7,5,1,3547.5516000000002,False,Normal
AP10040,Global Office,2025-05-24,2025-06-23,4519.76,USD,Open,,Net 30,5,5,1,4519.76,False,Normal
AP10041,BluePrints,2024-01-22,2024-02-21,4094.28,EUR,Partial,,Net 30,1,0,0,4421.822400000001,True,Anomaly
AP10042,BluePrints,2023-02-10,2023-03-12,3097.79,EUR,Paid,2023-03-12,Net 30,2,4,0,3345.6132000000002,False,Normal
AP10043,Fast Travel,2025-06-01,2025-07-01,1415.24,AUD,Partial,,Net 30,6,6,1,919.9060000000001,False,Normal
AP10044,BluePrints,2023-06-25,2023-07-25,3224.33,GBP,Partial,,Net 30,6,6,1,4030.4125,False,Normal
AP10045,TechMart,2023-06-26,2023-07-26,1164.49,USD,Partial,,Net 30,6,0,0,1164.49,False,Normal
AP10046,TechMart,2025-01-11,2025-02-10,2557.61,USD,Paid,2025-02-10,Net 30,1,5,1,2557.61,False,Normal
AP10047,BluePrints,2025-01-25,2025-02-24,393.4,GBP,Open,,Net 30,1,5,1,491.75,False,Normal
